PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
90,0.000425195466959849,0.000425195466959849,216,[0.015914524725191306, [6, 4, 7], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
91,0.000425557343987748,0.000425557343987748,177,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
92,0.00043056494905613363,0.00043056494905613363,124,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
93,0.0004314117832109332,0.0004314117832109332,112,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
94,0.0004229673359077424,0.0004229673359077424,193,[0.015914524725191306, [8, 7, 6], 2, [0.10053601870946888, 0.08861549439553945, 0.3978341173702157], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
95,0.0004263496957719326,0.0004263496957719326,119,[0.015914524725191306, [2, 7, 3], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
96,0.0004254306841176003,0.0004254306841176003,93,[0.015914524725191306, [2, 7, 3], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
97,0.00043335117516107857,0.00043335117516107857,124,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
98,0.00043170308344997466,0.00043170308344997466,124,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
99,0.00043796582031063735,0.00043796582031063735,162,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]

EVOLUTION ENDED

Optimal genes: [0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]           
Optimal fitness: 0.0004075691686011851                 
